x
0 1
1 39 99
2 67 126
3 68 125
4 65 118
5 44 106
6 54 127
7 49 137
8 85 116
9 74 107
10 60 108
11 37 140
12 68 155
13 46 134
14 82 134
15 82 116
16 67 116
17 39 148
18 59 148
19 40 127
20 84 122
21 70 117
22 71 115
23 30 134
24 52 150
25 27 113
26 45 100
27 41 88
28 36 109
29 18 85
30 56 126
31 15 72
32 15 91
33 19 76
34 20 79
35 16 80
36 44 123
37 25 114
38 51 131
39 49 96
40 55 94
41 37 121
42 12 101
43 34 104
44 52 135
45 61 96
46 44 121
47 26 131
48 14 105
49 27 91
50 47 112
51 55 118
52 77 108
53 41 104
54 15 78
55 23 97
56 65 119
57 54 123
58 72 115
59 29 112
60 20 83
61 12 95
62 35 98
63 41 104
64 35 113
65 26 97
66 26 71
67 26 103
68 40 126
69 54 128
70 51 123
71 64 126
72 43 118
73 10 66
74 56 108
75 49 100
76 63 107
77 42 95
78 11 87
79 17 74
80 57 97
81 57 98
82 51 103
83 39 98
84 13 97
85 12 96
86 49 113
87 58 122
88 74 108
89 43 92
90 18 96
91 12 89
92 63 114
93 53 120
94 71 111
95 38 104
96 17 99
97 12 90
98 27 106
99 30 104
100 35 109
101 23 88
102 19 73
103 61 115
104 44 123
105 55 128
106 72 125
107 65 128
108 27 106
109 27 108
110 51 114
111 58 121
112 68 114
113 48 85
114 12 89
115 46 113
116 62 138
117 74 106
118 62 100
119 50 103
120 18 136
121 48 120
122 65 128
123 63 127
124 70 102
125 55 122
126 16 134
127 43 112
128 70 124
129 66 118
130 75 114
131 45 122
132 17 118
133 41 104
134 42 115
135 40 86
136 38 100
137 23 80
138 18 69
139 69 114
140 24 78
141 18 77
142 19 77
143 17 90
144 14 63
145 74 134
146 31 116
147 51 116
148 71 111
149 47 89
150 14 99
151 56 137
152 80 105
153 64 111
154 70 116
155 45 118
156 18 124
157 46 133
158 61 117
159 63 110
160 75 103
161 39 119
162 14 128
163 57 133
164 67 118
165 59 131
166 82 122
167 56 117
168 16 110
169 68 135
170 35 120
171 48 93
172 45 109
173 30 85
174 18 75
175 54 114
176 18 104
177 14 70
178 20 94
179 19 88
180 18 59
181 56 138
182 54 145
183 53 139
184 63 139
185 42 140
186 49 119
187 26 106
188 51 138
189 54 109
190 77 111
191 56 128
192 14 110
193 21 80
194 56 101
195 61 100
196 63 119
197 31 111
198 13 77
199 19 97
200 62 124
201 51 130
202 78 124
203 50 117
204 16 106
205 16 87
206 39 103
207 54 103
208 48 107
209 28 100
210 21 78
211 10 69
212 16 84
213 19 81
214 22 102
215 18 94
216 16 65
217 24 102
218 55 129
219 50 132
220 54 135
221 42 127
222 50 114
223 29 75
224 52 104
225 60 105
226 70 99
227 39 108
228 12 99
229 26 78
230 48 98
231 65 102
232 57 107
233 32 106
234 13 76
235 31 96
236 64 127
237 49 131
238 69 126
239 44 116
240 14 93
241 15 85
242 45 106
243 52 104
244 40 102
245 17 96
246 16 73
247 11 80
248 21 75
249 18 79
250 16 107
251 15 94
252 12 65
253 15 105
254 50 107
255 65 112
256 60 101
257 41 79
258 57 115
259 35 105
260 84 132
261 74 99
262 66 102
263 35 109
264 46 132
265 35 117
266 65 101
267 71 102
268 60 105
269 29 127
270 44 129
271 37 96
272 80 114
273 63 125
274 68 112
275 31 115
276 47 125
277 27 107
278 42 103
279 46 94
280 37 101
281 13 79
282 35 111
283 21 101
284 21 73
285 22 73
286 17 89
287 14 78
288 13 86
