x
0 1
1 24 130
2 32 129
3 23 134
4 23 143
5 36 136
6 13 121
7 42 139
8 58 140
9 52 144
10 48 144
11 66 149
12 17 135
13 38 127
14 61 133
15 67 141
16 52 141
17 61 142
18 27 141
19 28 122
20 52 136
21 48 142
22 52 140
23 43 142
24 26 134
25 31 122
26 47 133
27 47 141
28 56 141
29 47 129
30 29 133
31 24 117
32 39 120
33 48 131
34 46 132
35 37 130
36 22 129
37 22 139
38 29 137
39 19 134
40 25 135
41 31 130
42 16 106
43 33 106
44 49 117
45 47 117
46 36 113
47 47 115
48 29 96
49 31 107
50 39 121
51 44 121
52 38 113
53 35 113
54 26 97
55 25 104
56 50 126
57 40 132
58 47 121
59 33 122
60 19 101
61 25 100
62 46 131
63 47 118
64 48 123
65 41 116
66 22 98
67 24 106
68 42 126
69 43 135
70 44 135
71 36 136
72 20 124
73 26 112
74 35 137
75 25 132
76 17 132
77 33 135
78 25 128
79 31 108
80 50 113
81 51 118
82 30 113
83 35 109
84 31 111
85 26 105
86 38 118
87 47 119
88 39 112
89 37 107
90 28 109
91 23 110
92 45 119
93 49 126
94 44 117
95 37 110
96 28 113
97 17 108
98 50 125
99 50 120
100 45 112
101 39 110
102 25 108
103 12 124
104 47 131
105 41 130
106 39 131
107 37 123
108 22 104
109 28 117
110 45 125
111 32 133
112 13 132
113 28 127
114 36 124
115 40 135
116 60 136
117 60 147
118 31 142
119 39 135
120 60 139
121 28 130
122 46 136
123 62 147
124 47 144
125 48 133
126 47 139
127 30 132
128 41 135
129 48 142
130 55 136
131 50 134
132 25 136
133 23 136
134 44 137
135 51 141
136 40 138
137 38 127
138 31 124
139 15 130
140 34 132
141 44 135
142 39 132
143 39 123
144 31 121
145 31 132
146 43 130
147 23 130
148 12 129
149 15 130
150 13 124
151 42 147
152 60 146
153 51 145
154 34 138
155 40 139
156 27 127
157 37 142
158 59 139
159 58 140
160 46 136
161 50 142
162 49 134
163 21 134
164 35 139
165 34 143
166 41 136
167 35 132
168 12 131
169 19 134
170 37 132
171 38 135
172 32 133
173 30 134
174 26 126
175 17 121
176 33 125
177 42 129
178 35 132
179 41 136
180 26 122
181 24 127
182 30 133
183 17 139
184 14 123
185 15 123
186 14 103
187 34 114
188 55 116
189 45 120
190 25 113
191 28 111
192 18 95
193 31 105
194 53 118
195 49 113
196 37 111
197 40 107
198 23 94
199 22 104
200 28 126
201 22 131
202 31 117
203 27 105
204 15 98
205 23 100
206 35 129
207 36 118
208 35 114
209 31 126
210 18 111
211 15 102
212 32 125
213 32 136
214 36 133
215 29 133
216 19 125
217 25 107
218 29 129
219 15 124
220 12 131
221 18 133
222 10 128
223 35 113
224 50 117
225 39 116
226 21 112
227 34 103
228 27 109
229 33 110
230 48 117
231 48 118
232 31 114
233 42 108
234 28 99
235 22 106
236 27 127
237 26 128
238 26 112
239 29 108
240 20 97
241 20 106
242 41 130
243 34 113
244 45 111
245 29 128
246 20 106
247 15 121
248 32 131
249 37 133
250 39 132
251 31 120
252 20 104
253 24 112
254 38 123
255 19 133
256 18 134
257 21 124
258 10 123
259 45 125
260 52 134
261 45 143
262 32 142
263 39 136
264 32 132
265 38 127
266 52 135
267 55 148
268 51 150
269 62 138
270 43 143
271 24 128
272 36 143
273 34 144
274 50 137
275 42 134
276 21 119
277 28 122
278 44 138
279 44 143
280 37 136
281 38 135
282 24 116
283 22 115
284 37 131
285 37 137
286 39 129
287 33 125
288 21 113
